Date,Platform,Campaign,Impressions,Clicks,Conversions,Spend ($),CTR (%),CPC ($),Conversion Rate (%)
01-06-2025,Instagram,Summer Launch,12000,300,25,150,2.5,0.5,8.33
02-06-2025,Facebook,Summer Launch,15000,350,30,175,2.33,0.5,8.57
03-06-2025,Instagram,Summer Launch,13000,320,28,160,2.46,0.5,8.75
04-06-2025,Google,Summer Launch,17000,400,35,200,2.35,0.5,8.75
05-06-2025,YouTube,Summer Launch,16500,390,34,195,2.36,0.5,8.72
06-06-2025,Instagram,Summer Launch,18000,420,36,210,2.33,0.5,8.57
07-06-2025,Facebook,Summer Launch,19000,450,38,220,2.37,0.49,8.44
08-06-2025,Google,Summer Launch,20000,470,40,230,2.35,0.49,8.51
09-06-2025,YouTube,Summer Launch,21000,500,42,240,2.38,0.48,8.4
10-06-2025,Instagram,Summer Launch,22000,520,45,250,2.36,0.48,8.65
